animal_name,image_url,image_alternative,introduction,threat_paragraph
Alpine She-oak Skink,https://www.zoo.org.au/media/2050/1023_alpine_she-oak_skink_healesville_sanctuary1.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132131638000000000,Alpine She-oak Skink sunning it self on a rock with its tongue out.,"Found in only a few locations in Victoria and NSW, the Alpine She-oak Skink is listed as endangered.","Major threats
Fire is a huge danger to the Alpine She-Oak Skink. It kills individual skinks and destroys the understory vegetation. This makes any survivors vulnerable to predators.
Climate change is obviously a threat to all alpine areas. So is grazing and trampling by cattle and feral horses. The skink's habitat is also disturbed by the construction and maintenance of ski resorts and roads."
Baw Baw Frog,https://www.zoo.org.au/media/2052/21295_baw_baw_frog_melbourne_zoo1.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132131638840000000,Baw Baw Frog resting in bright green moss. Looking to the left.,All estimates point to extinction in the wild for the Baw Baw Frog in just five to 10 years.,"Major threats
The loss of the Baw Baw Frog is mainly due to the disease Chytridiomycosis caused by infection with Amphibian Chytrid Fungus. This is a big cause of frog deaths worldwide."
Brush-tailed Rock-wallaby,"https://www.zoo.org.au/media/2045/21882_brush-tailed_rock-wallabies_healesville_sanctuary.jpg?center=0.46198830409356723,0.31833333333333336&mode=crop&quality=75&width=2000&height=570&rnd=132131636770000000",Brush Tailed Rock Wallabies resting in the grass.,"In Victoria, the Brush-tailed Rock-wallaby now exists in only two small and isolated locations.","Major threats 
Changes to habitat and the impact of feral cats, foxes and goats has led to the isolation of the few remaining populations of the Brush-tailed Rock-wallaby. This separation has created a lack of genetic diversity within the populations, another significant threat to the survival of the species."
Eastern Barred Bandicoot,"https://www.zoo.org.au/media/2053/4376_eastern_barred_bandicoot_in_bandicoot_hideout_werribee_open_range_zoo.jpg?center=0.48333333333333334,0.37333333333333335&mode=crop&quality=75&width=2000&height=570&rnd=132131642280000000",Small Eastern Barred Bandicoot side view foraging in leaf litter.,The Eastern Barred Bandicoot is listed as extinct in the wild.,"The plan for recovery
Zoos Victoria has partnered with several organisations to play a key role in the recovery of this species.
Since 1991, Zoos Victoria has bred more than 650 bandicoots. Now there are three reintroduced populations protected by predator-barrier fences on the mainland, and a fourth population on Churchill Island.
While we ensure our captive population is released into fox-free sites, we are also conducting trials to see if trained Maremma dogs can protect the Eastern Barred Bandicoots from predators"
Giant Burrowing Frog,https://www.zoo.org.au/media/2056/23479_giant_burrowing_frog_-_credit_required_offsite1.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132131643480000000,Giant Burrowing Frog on wet rocks side view. The frog is dark brown with yellow lips and spots on its side.,"Although we know that populations of the Giant Burrowing Frog are in decline, this elusive digger is one of Victoria’s most poorly understood species.","['Over the next five years, Zoos Victoria will carry out important on-the-ground surveys to discover more about the Giant Burrowing Frog and its remote habitat. In the meantime, we are securing the wellbeing of the individual frogs in our care.', 'Photo: Rohan Bilney', 'Conservation Status']"
Golden-rayed Blue Butterfly,https://www.zoo.org.au/media/1703/animal-detail-page_0001_golden-rayed-blue-butterfly-credit-kate-pearce.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132127412220000000,Golden Rayed Blue Butterfly resting with wings spread on dry grass. Its brown with faint iridescent blue suffusion and golden veins.,This Victorian butterfly is critically endangered.,"['It lives in the narrow bands of remnant floodplains that border a handful of salt-lakes in the west of the state. The Golden-rayed Blue Butterfly feeds on only one species of plant, known commonly as Creeping Boobialla.', 'Degraded habitat is the biggest threat to the survival of the Golden-rayed Blue Butterfly. Living in a restricted area doesn’t help its cause. Over time it has lost its marginal habitat around the salt-lakes, mainly through cropping and grazing.', 'The invasive paperbark tree is another problem as it displaces the butterfly’s food plant. This tree also reduces the sunny, open areas preferred by the adult butterfly.']"
Grassland Earless Dragon,"https://www.zoo.org.au/media/1716/23200_grassland_earless_dragon_melbourne_zoo.jpg?center=0.35260115606936415,0.59333333333333338&mode=crop&quality=75&width=2000&height=570&rnd=132127417720000000",Grassland Earless Dragon lizard side view looking over its right shoulder at the camera.,The Grassland Earless Dragon has not appeared in Victoria since 1969.,"The plan for recovery
Zoos Victoria has been actively searching for the dragon since 2017 and is committed to continuing the quest. We are conducting habitat assessments throughout the western basalt plains of Victoria.
Meanwhile, we are providing husbandry and breeding support for the National Recovery Team working with populations from the ACT and NSW."
Guthega Skink,"https://www.zoo.org.au/media/1980/10411_guthega_skink_baby_healesville_sanctuary.jpg?center=0.52631578947368418,0.26&mode=crop&quality=75&width=2000&height=570&rnd=132131628020000000",Baby Guthega Skink side view. Lizard looking towards the left.,The Guthega Skink is endangered in Victoria and is only found on the Bogong High Plains.,"Major threats
Habitat disturbance caused by grazing cattle and feral horses is a major threat to the Guthega Skink. As their population exists in a restricted area they are also very vulnerable to fire. Large bushfires in the region have killed many skinks and destroyed the understorey vegetation that protects them from predators. Skinks living in alpine areas are also threatened by climate change."
Helmeted Honeyeater,"https://www.zoo.org.au/media/1681/18660_juvenile_helmeted_honeyeater_healesville_sanctuary.jpg?center=0.29019607843137257,0.56333333333333335&mode=crop&quality=75&width=2000&height=570&rnd=132127394630000000",Juvenile Helmeted Honeyeater standing on a tree branch. Its a striking yellow colour with black and olive. ,"The Helmeted Honeyeater, the bird emblem for Victoria, is critically endangered.","Major threats
Loss of habitat is the primary threat to the Helmeted Honeyeater. They need to live close to water, so drought, bushfire, and competition from other birds also endanger their existence."
Key’s Matchstick Grasshopper,https://www.zoo.org.au/media/1702/animal-detail-page_0000_keys-matchstick-grasshopper-credit-michael-kearney.jpg?anchor=center&mode=crop&quality=75&width=2000&height=570&rnd=132127409400000000,Key's Matchstick Grasshopper. Its brown with a pointed head. ,"This distinctive grasshopper is flightless and has a long, stretched body shape.","['The Key’s Matchstick Grasshopper hasn’t been seen in Victoria for decades, but it has been reported in a handful of locations in southern NSW and the ACT.', 'The Key’s Matchstick Grasshopper is found in habitat dominated by a tall perennial grass. It doesn’t eat the grass, but probably relies on it for protection from predators and extremes of weather. As this habitat is within south-eastern Australia’s wheat and grazing belt, almost none remains.', 'Researchers at the University of Melbourne are working to discover more about the remaining and extinct grasshopper populations.']"
